Name,Matchy,Runs,Wicket,Century,Half-century
Virat Kohli,115,4008,4,1,37
Rohit Sharma,148,3853,1,4,29
Shikar Dhawan,68,1759,0,0,11
Suryakumar Yadav,48,1675,0,3,13
K.L Rahul,72,2265,0,2,22
Ishan Kishan,27,653,0,0,4
Shubman Gill,6,202,0,1,0
Hardik Pandya ,87,1271,69,0,3
Ravindra Jadeja,64,457,51,0,0
Krunal Pandya,19,124,15,0,0
Ravichandran Ashwin,65,184,72,0,0
Bhuvneshwar Kumar,87,67,90,0,0
Mohammed Shami,23,0,24,0,0
Mohammed Siraj,8,5,11,0,0
Yuzvendra Chahal,75,5,91,0,0
Axar Patel,40,288,37,0,1
Rishabh Pant,66,987,0,0,3
Ajinkya Rahane,20,375,0,0,1
